Center_ID,Center_Name,District,Medicine_Name,Required_Monthly_Qty,Current_Stock_Qty,Delivery_Delay_Days,Last_Restock_Date
PHC_144,Health Center 44,Gomati,Azithromycin 500mg,1268,547,,2026-07-18
PHC_145,Health Center 45,Unakoti,Amoxicillin 250mg,493,,0,2026-07-21
PHC_146,Health Center 46,Dhalai,Metformin 500mg,1141,1006,,2026-08-14
PHC_147,Health Center 47,West Tripura,Paracetamol 500mg,1124,1541,5,2026-08-11
PHC_148,Health Center 48,South Tripura,Amoxicillin 250mg,689,1148,8,2026-08-09
PHC_149,Health Center 49,Unakoti,Amoxicillin 250mg,870,997,2,2026-08-13
PHC_150,Health Center 50,Unakoti,Azithromycin 500mg,500,153,15,2026-07-14
PHC_151,Health Center 51,West Tripura,Paracetamol 500mg,1843,1788,2,2026-08-07
PHC_152,Health Center 52,Unakoti,Metformin 500mg,1285,487,,2026-07-23
PHC_153,Health Center 53,West Tripura,Amoxicillin 250mg,1076,54,8,2026-08-01
PHC_154,Health Center 54,Unakoti,ORS Packets,1166,1476,15,2026-07-13
PHC_155,Health Center 55,Unakoti,Amoxicillin 250mg,688,657,2,2026-08-14
PHC_156,Health Center 56,Gomati,Amlodipine 5mg,1410,174,15,2026-07-28
PHC_157,Health Center 57,West Tripura,Paracetamol 500mg,1496,1026,12,2026-07-15
PHC_158,Health Center 58,South Tripura,Paracetamol 500mg,1340,214,,2026-08-06
PHC_159,Health Center 59,West Tripura,Azithromycin 500mg,439,1432,,2026-08-02
PHC_160,Health Center 60,Unakoti,Paracetamol 500mg,1466,,2,2026-07-11
PHC_161,Health Center 61,Gomati,Paracetamol 500mg,1568,217,8,2026-07-11
PHC_162,Health Center 62,Gomati,Azithromycin 500mg,947,584,2,2026-07-28
PHC_163,Health Center 63,South Tripura,ORS Packets,1110,318,15,2026-07-29
PHC_164,Health Center 64,Unakoti,ORS Packets,1839,198,0,2026-07-19
PHC_165,Health Center 65,Gomati,Azithromycin 500mg,504,200,12,2026-08-04
PHC_166,Health Center 66,Gomati,ORS Packets,571,764,0,2026-08-02
PHC_167,Health Center 67,Dhalai,ORS Packets,623,947,,2026-07-14
PHC_168,Health Center 68,Dhalai,Azithromycin 500mg,1952,1389,12,2026-08-17
PHC_169,Health Center 69,Gomati,ORS Packets,1658,262,2,2026-08-01
PHC_170,Health Center 70,West Tripura,Paracetamol 500mg,1820,1183,2,2026-07-31
PHC_171,Health Center 71,Dhalai,Azithromycin 500mg,731,1519,5,2026-08-04
PHC_172,Health Center 72,Dhalai,Azithromycin 500mg,1300,564,,2026-08-14
PHC_173,Health Center 73,West Tripura,Amlodipine 5mg,1167,1748,5,2026-08-15
PHC_174,Health Center 74,West Tripura,ORS Packets,1879,317,15,2026-08-01
PHC_175,Health Center 75,South Tripura,Amlodipine 5mg,1204,,12,2026-07-21
PHC_176,Health Center 76,Gomati,Paracetamol 500mg,529,204,15,2026-08-08
PHC_177,Health Center 77,Gomati,Paracetamol 500mg,1056,1242,12,2026-08-08
PHC_178,Health Center 78,Unakoti,Amoxicillin 250mg,385,681,5,2026-08-15
PHC_179,Health Center 79,Dhalai,Amoxicillin 250mg,1696,561,15,2026-08-11
PHC_180,Health Center 80,Dhalai,Azithromycin 500mg,1132,1321,15,2026-08-08
PHC_181,Health Center 81,South Tripura,Amoxicillin 250mg,1938,1710,2,2026-07-22
PHC_182,Health Center 82,West Tripura,Amoxicillin 250mg,1808,730,,2026-07-22
PHC_183,Health Center 83,South Tripura,ORS Packets,626,1662,15,2026-08-11
PHC_184,Health Center 84,Unakoti,Paracetamol 500mg,1263,505,2,2026-07-19
PHC_185,Health Center 85,Dhalai,ORS Packets,1980,1678,,2026-08-03
PHC_186,Health Center 86,South Tripura,Paracetamol 500mg,1651,445,8,2026-07-27
PHC_187,Health Center 87,Dhalai,Paracetamol 500mg,1883,621,5,2026-07-16
PHC_188,Health Center 88,Unakoti,Amlodipine 5mg,1398,728,0,2026-08-10
PHC_189,Health Center 89,Dhalai,Amoxicillin 250mg,1489,593,0,2026-08-11
PHC_190,Health Center 90,Gomati,Metformin 500mg,1007,,15,2026-07-28
PHC_191,Health Center 91,Unakoti,Azithromycin 500mg,1347,286,8,2026-07-12
PHC_192,Health Center 92,South Tripura,ORS Packets,390,1501,8,2026-08-17
PHC_193,Health Center 93,Gomati,Azithromycin 500mg,1706,1523,15,2026-08-05
PHC_194,Health Center 94,Dhalai,Metformin 500mg,443,1410,5,2026-07-09
PHC_195,Health Center 95,Dhalai,Amlodipine 5mg,555,1524,5,2026-07-16
PHC_196,Health Center 96,Dhalai,Amlodipine 5mg,1136,718,8,2026-07-30
PHC_197,Health Center 97,Gomati,Amoxicillin 250mg,692,911,15,2026-07-24
PHC_198,Health Center 98,South Tripura,Azithromycin 500mg,1465,666,8,2026-07-13
PHC_199,Health Center 99,West Tripura,ORS Packets,887,480,8,2026-07-11
PHC_200,Health Center 100,Gomati,Amlodipine 5mg,959,1002,8,2026-07-20
